"COD_REG";"NOME_REG";"SHAPE_Leng";"SHAPE_Area"
"0";1;"PIEMONTE";1236869,3688;25394103941,6
"1";2;NA;311165,134877;3259040961,3
"2";3;"LOMBARDIA";1411265,07152;23862698613,6
"3";4;"TRENTINO-ALTO ADIGE/SUDTIROL";800534,132495;13608018378,5
"4";5;"VENETO";1057855,9676;18405499479,4
"5";6;"FRIULI VENEZIA GIULIA";667489,737062;7864293935,04
"6";7;"LIGURIA";834224,468035;5415464956,44
"7";8;"EMILIA-ROMAGNA";1164723,05925;22451465521,9
"8";9;"TOSCANA";1316658,00191;22984426772
"9";10;"UMBRIA";620315,169929;8464007915,76
"10";11;"MARCHE";629209,047201;9401177971,95
"11";12;"LAZIO";1055355,14651;17227617801,3
"12";13;"ABRUZZO";614513,705789;10829102919,5
"13";14;"MOLISE";433874,677975;4461149496,36
"14";15;"CAMPANIA";892379,131913;13663989800,1
"15";16;"PUGLIA";1176242,99348;19537077223
"16";17;"BASILICATA";614219,205497;10073260222,6
"17";18;"CALABRIA";838194,357734;15216683867,8
"18";19;"SICILIA";1339973,64188;25824775591,4
"19";20;"SARDEGNA";1460657,08082;24094165311,9
